Continent,Country,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Median_Age,GDP_Per_Capita,density,pop2021,Vaccinatiegraad
Afrika,Sierra Leone,6396.0,121.0,785.62,14.862,,,236465.0,192558.0,43907.0,19.1,1390.3,113.484,8141343.0,0.539309055029373
Azië,Singapore,129229.0,172.0,21915.538,29.169,20436387.0,0.054,9670942.0,4716546.0,4605568.0,42.4,85535.383,8305.1915,5896686.0,78.10434538993597
Europa,Slovakia,425971.0,12735.0,78006.294,2332.107,42271380.0,0.056,4745132.0,2471274.0,2273858.0,41.2,30155.152,111.3592,5460721.0,41.64025226705411
Europa,Slovenia,301644.0,4617.0,145110.243,2221.075,1626242.0,0.196,2182831.0,1135716.0,1047115.0,44.5,31400.84,102.5366,2078724.0000000002,50.372969186866555
Oceanië,Solomon Islands,20.0,,28.409,,,,130204.0,104760.0,25444.0,20.8,2205.923,24.3631,703996.0,3.614225080824323
Afrika,Somalia,21269.0,1180.0,1300.101,72.129,,,542501.0,297741.0,244760.0,16.8,,25.6556,16359504.0,1.496133379104892
Afrika,South Africa,2912346.0,88346.0,48505.15,1471.403,17864698.0,0.046,19041535.0,13466577.0,9911989.0,27.3,12294.876,49.173,60041994.0,16.508427418316586
Azië,South Korea,334163.0,2594.0,6513.24,50.56,13721674.0,0.054,69161152.0,40014733.0,30606048.0,43.4,35938.374,511.9767,51305186.0,59.65488167219587
Afrika,South Sudan,12114.0,130.0,1064.37,11.422,,,113013.0,81061.0,31952.0,19.2,1569.888,18.3646,11381378.0,0.2807392918502487
Europa,Spain,4977448.0,86827.0,106480.384,1857.452,59314343.0,0.024,70822813.0,37816635.0,36937743.0,45.5,34272.36,92.3833,46745216.0,79.01930114089109
Azië,Sri Lanka,527064.0,13354.0,24517.677,621.194,5355028.0,0.134,27102057.0,14703606.0,12398451.0,34.1,11669.077,327.6529,21497310.0,57.67442996356288
Afrika,Sudan,38827.0,2953.0,864.564,65.755,,,,,,19.7,4466.507,23.8111,44909353.0,
Zuid-Amerika,Suriname,44306.0,968.0,74866.762,1635.693,,,417831.0,237707.0,180124.0,29.6,13767.119,3.6125,591800.0,30.43663399797229
Europa,Sweden,1157822.0,14905.0,113957.075,1467.005,,0.03,13965508.0,7188306.0,6721017.0,41.0,46949.283,22.5634,10160169.0,66.15064178558447
Europa,Switzerland,850684.0,11133.0,97605.942,1277.38,10760244.0,0.033,10664254.0,5606512.0,5207485.0,43.1,57410.166,211.1107,8715494.0,59.74973994589406
Azië,Syria,37229.0,2348.0,2037.076,128.477,,,811852.0,613263.0,321276.0,21.7,,98.6916,18275702.0,1.7579406799257287
Azië,Taiwan,16305.0,846.0,683.504,35.464,3619373.0,0.0,18240856.0,13759882.0,4480974.0,42.2,,659.1056,23855010.0,18.784205078933105
Azië,Tajikistan,17484.0,125.0,1793.3,12.821,,,4362853.0,2464077.0,1898776.0,23.3,2896.913,68.1316,9749627.0,19.47537069879699
Afrika,Tanzania,25957.0,723.0,422.076,11.756,,,595938.0,,560938.0,17.7,2683.304,65.0717,61498437.0,0.9121174900753981
Azië,Thailand,1720919.0,17751.0,24601.833,253.764,14201188.0,0.223,59539624.0,34782627.0,23055555.0,40.1,16277.671,136.3245,69950850.0,32.9596495253453
Afrika,Togo,25788.0,236.0,3041.668,27.836,518580.0,0.038,1215025.0,805728.0,409297.0,19.4,1429.813,149.3044,8478250.0,4.827611830271578
Oceanië,Tonga,,,,,,,74503.0,46985.0,27518.0,22.3,5425.621,142.9183,106760.0,25.775571375046834
Noord-Amerika,Trinidad and Tobago,52847.0,1555.0,37657.104,1108.044,353373.0,0.122,1145835.0,597951.0,547884.0,36.2,28763.071,273.5624,1403375.0,39.04045604346664
Afrika,Tunisia,709866.0,25039.0,59473.864,2097.813,2994047.0,0.053,8505215.0,5294505.0,4095504.0,32.7,10849.297,72.9525,11935766.0,34.31287108007982
Azië,Turkey,7475085.0,66368.0,87897.983,780.408,90162700.0,0.084,112666626.0,54565515.0,46435265.0,31.6,25129.341,108.5335,85042738.0,54.60226950830299
Noord-Amerika,Turks and Caicos Islands,,,,,,,54417.0,28305.0,26112.0,,,41.3829,39231.0,66.55960847289134
Afrika,Uganda,124736.0,3177.0,2647.0,67.419,1705808.0,0.032,2615807.0,2200321.0,415486.0,16.4,1697.707,195.0881,47123531.0,0.8816953890827918
Europa,Ukraine,2667304.0,62550.0,61364.137,1439.029,13277259.0,0.306,13807133.0,7609047.0,6198086.0,41.4,7894.393,72.0246,43466819.0,14.259350333411792
Azië,United Arab Emirates,737890.0,2114.0,73854.856,211.589,87246490.0,0.0,20479211.0,9445401.0,8426682.0,34.0,67293.483,119.5106,9991089.0,84.34197713582573
Europa,United Kingdom,8232327.0,138167.0,120696.017,2025.698,283376305.0,0.04,94376101.0,49186920.0,45189181.0,40.8,39753.244,280.8033,68207116.0,66.25288335017713
Noord-Amerika,United States,44455949.0,714055.0,133535.404,2144.856,592381867.0,0.077,401819240.0,216889814.0,187215471.0,38.3,54225.446,35.52,332915073.0,56.235204165718265
Zuid-Amerika,Uruguay,390115.0,6064.0,111936.294,1739.953,3635691.0,0.015,6404740.0,2743915.0,2598784.0,35.6,20551.409,19.2514,3485151.0,74.56732864659236
Azië,Uzbekistan,178637.0,1271.0,5263.974,37.453,,,21978290.0,12025985.0,4941860.0,28.2,6253.104,75.8511,33935763.0,14.562395429270294
Oceanië,Vanuatu,4.0,1.0,12.72,3.18,,,73744.0,49639.0,24105.0,23.1,2921.909,25.799,314464.0,7.6654243411010485
Zuid-Amerika,Venezuela,384668.0,4634.0,13400.756,161.436,,,16127242.0,9926613.0,6190629.0,29.0,16745.022,31.3221,28704954.0,21.566413240028183
Azië,Vietnam,843281.0,20670.0,8590.11,210.556,24871501.0,0.055,54279564.0,38698136.0,15581428.0,32.6,6171.884,296.3927,98168833.0,15.872072147378995
Oceanië,Wallis and Futuna,,,,,,,10843.0,5679.0,5164.0,,,78.1268,11094.0,46.54768343248603
Azië,Yemen,9402.0,1782.0,308.357,58.444,,,,,,20.3,1479.147,57.7509,30490640.0,
Afrika,Zambia,209353.0,3654.0,11064.785,193.122,2509600.0,0.005,802043.0,,462835.0,17.7,3689.251,25.14,18920651.0,2.4461896157801335
Afrika,Zimbabwe,131875.0,4643.0,8737.974,307.643,1288436.0,0.038,5594808.0,3176445.0,2418363.0,19.6,1899.775,38.6229,15092171.0,16.023957056940315
